1.02567e+0,3.66598e-2
1.08931e+0,3.87760e-2
1.13025e+0,3.94336e-2
1.20974e+0,4.04507e-2
1.25521e+0,4.09986e-2
1.33828e+0,4.20505e-2
1.39128e+0,4.25779e-2
1.48624e+0,4.41281e-2
1.54210e+0,4.49176e-2
1.64416e+0,4.65841e-2
1.70927e+0,4.74973e-2
1.81885e+0,4.79048e-2
1.89088e+0,4.79662e-2
2.01994e+0,4.82745e-2
2.09994e+0,4.83158e-2
2.24327e+0,4.84604e-2
2.33211e+0,4.85226e-2
2.49128e+0,4.83758e-2
2.58994e+0,4.82745e-2
2.76671e+0,4.79383e-2
2.87628e+0,4.79457e-2
3.07260e+0,4.70093e-2
3.19428e+0,4.63352e-2
3.39907e+0,4.50316e-2
3.53368e+0,4.43979e-2
3.77487e+0,4.30617e-2
3.91675e+0,4.21370e-2
4.15978e+0,3.99729e-2
4.31613e+0,3.89066e-2
4.58393e+0,3.68601e-2
4.75622e+0,3.59412e-2
5.05134e+0,3.40611e-2
5.24120e+0,3.31539e-2
5.56640e+0,3.14746e-2
5.77562e+0,3.06417e-2
6.13399e+0,2.90540e-2
6.36453e+0,2.82926e-2
6.75944e+0,2.67915e-2
7.01350e+0,2.60234e-2
7.44868e+0,2.46449e-2
7.72864e+0,2.39361e-2
8.17637e+0,2.27098e-2
8.50017e+0,2.20657e-2
9.01008e+0,2.08902e-2
9.36690e+0,2.03198e-2
9.92880e+0,1.92365e-2
1.03020e+1,1.86980e-2
1.09412e+1,1.76890e-2
1.13524e+1,1.72066e-2
1.20568e+1,1.62036e-2
1.25100e+1,1.57280e-2
1.32862e+1,1.48222e-2
1.37588e+1,1.43676e-2
1.45842e+1,1.35632e-2
1.51324e+1,1.31726e-2
1.60090e+1,1.24243e-2
1.66107e+1,1.20580e-2
1.76414e+1,1.13532e-2
1.83044e+1,1.10219e-2
1.93648e+1,1.03998e-2
2.00927e+1,1.00941e-2
2.12567e+1,9.51315e-3
2.20556e+1,9.18686e-3
2.34241e+1,8.59333e-3
2.42574e+1,8.31938e-3
2.57125e+1,7.79779e-3
2.66272e+1,7.54053e-3
2.82245e+1,7.06601e-3
2.92285e+1,6.83836e-3
3.09818e+1,6.40514e-3
3.20839e+1,6.19136e-3
3.39998e+1,5.84960e-3
3.53021e+1,5.61078e-3
3.73165e+1,5.25850e-3
3.89605e+1,5.05398e-3
4.06610e+1,4.80764e-3
4.24358e+1,4.59733e-3
4.42880e+1,4.38549e-3
4.62211e+1,4.18779e-3
4.82385e+1,3.99901e-3
5.03440e+1,3.81874e-3
5.25414e+1,3.64659e-3
5.48348e+1,3.48342e-3
5.72282e+1,3.32639e-3
5.97261e+1,3.17533e-3
6.23330e+1,3.03431e-3
6.50537e+1,2.89753e-3
6.78931e+1,2.76691e-3
7.08565e+1,2.64125e-3
7.39492e+1,2.52307e-3
7.71770e+1,2.40765e-3
8.05456e+1,2.30072e-3
8.40612e+1,2.19470e-3
8.77303e+1,2.08919e-3
9.15596e+1,1.98181e-3
9.55559e+1,1.88323e-3
9.83803e+1,1.81856e-3
