3.93337e-11,1.81284e-15
6.14352e-11,1.87871e-15
9.59669e-11,2.04864e-15
1.49969e-10,2.65085e-15
2.20701e-10,4.69839e-15
2.59958e-10,9.22351e-15
2.73692e-10,2.40547e-14
2.86299e-10,1.61157e-13
2.77646e-10,7.72861e-14
2.71799e-10,5.02741e-14
2.99259e-10,7.84090e-13
2.90187e-10,3.61078e-13
4.02479e-10,1.22235e-12
6.28373e-10,1.06596e-12
9.20558e-10,5.38426e-13
1.46937e-9,5.31215e-13
2.29562e-9,6.17651e-13
3.58684e-9,7.47333e-13
5.60441e-9,9.10265e-13
8.75698e-9,1.11610e-12
1.36829e-8,1.36849e-12
2.13801e-8,1.68539e-12
3.34079e-8,2.09876e-12
5.22024e-8,2.61353e-12
8.15670e-8,3.20311e-12
1.27453e-7,3.96410e-12
1.99165e-7,5.04682e-12
3.11210e-7,6.28465e-12
4.86289e-7,7.82609e-12
7.59875e-7,9.81051e-12
1.18736e-6,1.22167e-11
1.85530e-6,1.50791e-11
2.89915e-6,1.90706e-11
4.53012e-6,2.36956e-11
7.07913e-6,3.03686e-11
1.10635e-5,4.05022e-11
1.72923e-5,5.67119e-11
2.34502e-5,7.46729e-11
3.21324e-10,1.22493e-12
2.83701e-11,1.77646e-15
